project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
2L PS of Hamirpur Bypass from Km 121.175 to Km.138.295 of NH-103&3,National Highways Authority of India [NHAI],618890,739.39,233.43,92.57,24.0,30.0,14.0,Himachal Pradesh,National Highways Authority of India [NHAI],1
4L PS from Kalar Bala Village to Nauni Chowk of NH 205 from Km 41.000 to Km 58.450,National Highways Authority of India [NHAI],618891,1244.43,80.72,20.95,24.0,11.0,16.0,Himachal Pradesh,National Highways Authority of India [NHAI],0
4L of Kathlighat to Shakral Village from Km 128.835 to Km 146.300 of NH- 5 Shimla Bypass - Pkg I,National Highways Authority of India [NHAI],618921,1703.48,980.87,54.0,36.0,36.0,13.0,Himachal Pradesh,National Highways Authority of India [NHAI],1
4L of Shakral Village to Dhalli Section from Km 146.300 to Km 156.560 Shimla Bypass - Pkg II and Shimla connectivity from Km 0.000 to Km 0.725 of NH-5,National Highways Authority of India [NHAI],618922,1956.26,1236.15,63.17,36.0,25.0,23.0,Himachal Pradesh,National Highways Authority of India [NHAI],1
Solan - Kaithlighat Section of NH-22 Now NH-5 from Km. 106.139 to Km.129.05,National Highways Authority of India [NHAI],619003,881.74,652.04,90.11,30.0,89.0,8.0,Himachal Pradesh,National Highways Authority of India [NHAI],1
4L of HP/Punjab Border - Mo from km. 11.00 to km. 42.00 of Old NH-20 New NH-154 Package-IA,National Highways Authority of India [NHAI],619153,1002.11,537.04,60.06,24.0,47.0,14.0,Himachal Pradesh,National Highways Authority of India [NHAI],1
Construction of Shopian Bypass on NH-444 taking off from existing chainage Km 36500 and re-joining at km 47588 of existing Chainage New Design Ch. From km 28000 to km 36925 as 2- lane with paved shoulder in the UT of Jammu & Kashmir on EPC mode.,MoRTH,618038,224.44,0.0,3.0,24.0,3.0,22.0,"Jammu and
Kashmir",MoRTH,0
"Widening and strengthening to 2 lane with paved shoulder from existing Ch. Km 56720 to Km 100820 and Design Ch. From Km 62600 to Km 106360 Total Length43.760 Km on SRINAGAR -BARAMULA URINH-01 in the UT of Jammu & Kashmir under project BEACON, Border Roads Organization BRO on EPC mode.",MoRTH,618201,702.1,0.0,45.0,24.0,17.0,14.0,"Jammu and
Kashmir",MoRTH,0
Construction of 2 lane with paved shoulders Baramulla Bypass Greenfield bypass from existing Ch. Km 47020 to Km 56720 and Design Ch. From 48500 to 62600 Total length 14.100 km on road Srinagar Baramulla Uri NH-01 in the UT of Jammu & Kashmir under Project.Package-III,MoRTH,618202,992.43,34.01,39.84,24.0,19.0,18.0,"Jammu and
Kashmir",MoRTH,0
"Construction of 4 lane with paved shoulder Pattan bypass Greenfield bypass from existing Ch. Km 24320 to Km 33760 and Design Ch. from Km 24400 to Km 35300, total length 10.900 km on road SrinagarBaramulla Uri NH-01 in the UT of Jammu & Kashmir under Project BEACON, Border Roads Organization BRO on EPC mode. Package-II",MoRTH,618203,980.21,0.27,50.01,23.0,20.0,17.0,"Jammu and
Kashmir",MoRTH,0
Construction of realignment between Pandrass- Pashkyun Total length 27.10 km on road Zozila-Kargil -Leh NH-1 to 2 lane specifications i.e. Drass alignment 9.30 km Kharboo realignment 6.30 km & Kargil alignment 11.50 km under project Vijayak BRO in the UT of Ladakh on EPC Mode,MoRTH,618204,426.15,97.91,54.89,24.0,34.0,19.0,"Jammu and
Kashmir",MoRTH,0
"Construction of 4 lane with paved shoulder from Existing Ch. 14200 to 24320 Design Ch. 14200 to 24400, Ch. 33760 to 42780 Design Ch. 35300 to 44294 & Ch. 43440 to 47020 Design Ch. 44958 to 48500 Delina Flyover including construction of flyover length 1.704 km of total length 22.736 kms in AOR of 760 BRTF on road SRINAGAR BARAMULA URI NH-01 in the UT of Jammu & Kashmir under project BEACON, Border Roads Organization BRO Package-IJob No NH-1-J&K-2022-23-110",MoRTH,618205,823.46,262.57,83.0,24.0,32.0,14.0,"Jammu and
Kashmir",MoRTH,0
Widening and Strengthening of Rafiabad-Kupwara-Chowkibal-Tangdhar-Chamkot NH- 701 road from design Ch. From 0000 to 51000 to two lanes with paved shoulders under Project Beacon in the UT of Jammu & Kashmir on EPC mode Package-I.,MoRTH,618206,1404.94,118.37,36.5,30.0,17.0,8.0,"Jammu and
Kashmir",MoRTH,0
Reconstruction and widening to 2 lane with paved shoulder from existing chainage km 102000 to km 134950 Design chainage km 90150 to km 116980 including construction of Naushera Tunnel Total length of tunnel 0.700 km under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-V Job no NH-144A-J&K-2020-21-104,MoRTH,618220,642.24,0.0,100.0,24.0,45.0,16.0,"Jammu and
Kashmir",MoRTH,0
Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 166.100 to Km 192.98 design chainage Km 146.700 to Km 162.800 including construction of Bhimber Gali Tunnel Total Length of Tunnel 1.100 Km under 31 BRTF on Akhnoor-Poonch Roads on EPC mode NH-144A Package-VII,MoRTH,618221,734.64,0.0,45.41,24.0,21.0,34.0,"Jammu and
Kashmir",MoRTH,0
Widening and Strengthening up gradation to 2 lane with paved shoulder from existing chainage Km 192.98 to Km 229.820 design chainage Km 162.800 to Km 198.18 under 31 BRTF on Akhnoor-Poonch Road NH-144A in the UT of Jammu and Kashmir under Project Sampark Border Roads Organisation BRO on EPC Mode Package-VIII Job No NH-144A-J&K-2022-2023-111,MoRTH,618222,562.45,137.07,70.03,24.0,27.0,15.0,"Jammu and
Kashmir",MoRTH,0
Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 64535 to km 85385 Design chainage km 55800 to km 74350 under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-III Job no NH-144A-J&K-2019-20-79,MoRTH,618223,152.93,75.64,88.94,24.0,55.0,18.0,"Jammu and
Kashmir",MoRTH,0
Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 49150 to km 64535 Design chainage km 46.450 to km 55.800 including construction of Sungal Tunnel Total length of Tunnel 2.79 km under 13 TF on Akhnoor-Poonch road NH-144A under Project Sampark BRO in the UT of Jammu & Kashmir on EPC mode Package-II Job no NH-144A-J&K-2019-20-78,MoRTH,618224,796.97,432.45,92.01,36.0,56.0,17.0,"Jammu and
Kashmir",MoRTH,0
Rehabilitation and up-gradation to 2 lane with paved shoulder from existing chainage km 134950 to km 166100 Design chainage km 116980 to km 146700 under 31 TF on Akhnoor-Poonch road NH-144A in the UT of Jammu & Kashmir under Project Sampark BRO on EPC mode Package-VI Job no NH-144A-J&K-2021-22-106,MoRTH,618225,395.25,144.04,89.05,24.0,45.0,12.0,"Jammu and
Kashmir",MoRTH,0
Rehabilitation and upgradation to 2 lane with paved shoulder from existing chainage Km 30.053 to Km 49.150 design chainage Km 30.000 to Km 46.450 including Kandi Tunnel under 31 BRTF on Akhnoor-Poonch Road NH-144A Under Project Sampark in the UT of Jammu & Kashmir EPC modePackage-I Job no NH-144A-J&K-2020-21-83.,MoRTH,618226,272.49,157.74,94.0,24.0,41.0,28.0,"Jammu and
Kashmir",MoRTH,0
Up-gradation to 2-lane with Paved Shoulder from Km 12.850 to Km20.300 of 7.450Km length on Goha-Khellani section and a link road to Goha village of 2.016 km on NH- 244 in UT of Jammu and Kashmir on EPC Mode Pkg-1,NHIDCL,618394,228.39,163.81,94.26,18.0,66.0,3.0,"Jammu and
Kashmir",NHIDCL,0
"Construction & Upgradation to 2-lane with paved shoulder from Design Ch. Km 51700 at Premnagar km 66315 to Km 66535 New Thatri at Start of Km 83rd, Tunnel Km 82665 of 14.835 Km design length on Chenani-Sudhmahadev-Goha Khellani- Kishtwar-Vailoo Donipawa-Ashajipora section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg - 2",NHIDCL,618395,512.43,155.69,53.49,18.0,56.0,5.0,"Jammu and
Kashmir",NHIDCL,0
Construction & Upgradation to 2 lane with paved shoulder from Design Km. 31.449 Khellani Ex. Km 44.946 to Km 51.700 Prem Nagar Ex. Km 68617 of 20.251 Km length on Khellani - Kishtwar - Chattroo section of NH-244 in the UT of J&K on EPC Mode under NHO-Gen PKG- 1,NHIDCL,618396,486.45,0.0,0.0,17.0,61.0,1.0,"Jammu and
Kashmir",NHIDCL,0
Widening and Up-gradation to 2-Lane with Paved Shoulder of configuration and geometric improvement from Km 0.000 to Km 16.990 on Chenani Sudhmahadev section of NH-244 in UT of Jammu and Kashmir to be executed on EPC basis,NHIDCL,618397,255.9,0.0,0.0,24.0,89.0,8.0,"Jammu and
Kashmir",NHIDCL,0
Up-gradation to 2-lane with Paved Shoulder from Km 20.300 to Km 29.030 of 8.730 Km length on Goha-Khellani section on NH-244 in UT of Jammu and Kashmir on EPC Mode Package II,NHIDCL,618398,210.79,174.92,96.95,18.0,66.0,3.0,"Jammu and
Kashmir",NHIDCL,0
Construction of Kishtwar bypass with 2 lane with paved shoulder from Design Km. 80.675 Dulhasti to km 95.550 Bandarkoot of 14.88 km & a link road to Kishtwar town from 0000 to 1.871 of length1.871 Km on Khellani - Kishtwar - Chattroo section in UT of Jammu and Kashmir on EPC Mode Pkg-4,NHIDCL,618399,859.67,308.95,50.05,24.0,56.0,5.0,"Jammu and
Kashmir",NHIDCL,0
Construction & Upgradation to 2-lane with paved shoulder from Design Km 67.805 at the end of Km 83rd Tunnel near Dhrabshalla Ex. Km 83905 to Km 80.675 start of Kishtwar Bypass - Dulhasti Ex. Km 970751 of 12.870 Km length on chenani- Sudhmahadev-Goha Khellani-Kishtwar-vailoo-Donipawa-Ashajipora seition of NH-244 in the UT of J&K on EPC Mode under NHO-Gen Pkg-3,NHIDCL,618400,398.51,99.35,98.55,17.0,57.0,4.0,"Jammu and
Kashmir",NHIDCL,0
Up-gradation to 4-lane with Paved Shoulder of Jammu-Akhnoor road section of NH- 144A from Ganesh Vihar Km 6.000 to Khati Chowk Km 26.350 in UT of Jammu and Kashmir on EPC basis Pkg-3A,NHIDCL,618406,322.49,0.0,0.0,24.0,81.0,16.0,"Jammu and
Kashmir",NHIDCL,0
Jammu-Akhnoor Road Pkg-I,NHIDCL,618407,245.3,82.06,68.07,24.0,39.0,58.0,"Jammu and
Kashmir",NHIDCL,0
Delhi-Amritsar-Katra Expressway Phase-II Pkg-XV [Junction with Hiranagar Road near village Gurha Baildaran to Junction with Jammu Ring Road NH-244A near Jakh village from Km 468100 to Km 503250],National Highways Authority of India [NHAI],618494,2714.95,1653.54,88.87,24.0,43.0,11.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],1
4/6L Access Control Expressway from Design Chainage Km 515.000 to 528.300 Kunjwani to Sidhra Section of NH-44 and from Design Chainage Km 550.900 to Km 566.520 Domel to Katra Section Phase II-Package XVII,National Highways Authority of India [NHAI],618495,2894.74,810.99,62.0,24.0,34.0,12.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],National Highways Authority of India [NHAI],618496,1821.72,1174.58,94.14,24.0,43.0,12.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],1
Delhi Amritsar Katra Expressway Phase-II Pkg XVIII Development and Upgradation of Four lane Access Control Expressway from Design Chainage KM 530.00 to KM 545.300 Sidhra to Domel Section of NH-44,National Highways Authority of India [NHAI],618497,975.38,564.21,62.41,24.0,29.0,11.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
4L Ring road/bypass around Srinagar city from km 0.000 to km 42.100 Phase-I,National Highways Authority of India [NHAI],618541,2919.96,1770.97,87.0,30.0,56.0,5.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
4L of twin tube tunnel configuration including approaches from Marog to Digdol from Km.154.210 to Km.158.650 North Bound and from Km.155.940 to Km.160.260 South Bound of Ramban to Banihal Pkg-I of Old NH-1A New NH-44,National Highways Authority of India [NHAI],618543,1912.17,357.42,27.0,36.0,44.0,13.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
"4L twin tube tunnel including approaches from Digdol to Khuni Nallah North Bound connecting with existing major bridge on NB and South Bound connecting with Tunnel T4 ,Single tube tunnel of Ramban to Banihal Pkg-II of Old NH-1A New NH-44",National Highways Authority of India [NHAI],618544,1401.87,989.45,87.1,28.0,50.0,7.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
"4L of Km.165.092 to Km.171.855 North Bound and from Km.166.895 to Km.173.638 South Bound, excl. certain reaches of North Bound and South Bound of Ramban to Banihal Pkg-III of Old NH-1A New NH-44",National Highways Authority of India [NHAI],618545,614.48,257.32,42.8,30.0,50.0,7.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
2L NH-1 from km 8.660 to km 33.775 Sumbal to Wayul to 4L dual carriageway NH standard as part of Srinagar Ring Road PhaseII [Design Ch. 41.907 to Ch. 66.609],National Highways Authority of India [NHAI],618547,961.0,412.37,48.8,30.0,28.0,13.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
Construction of twin tube tunnels on Jammu Kashmir Ring Road NH-244A Between Design Ch. 50600 to 51700 and design Ch. 53535 to 55700 on EPC mode under residual NHDP component of Bharatmala Pariyojna,National Highways Authority of India [NHAI],618549,242.65,655.27,83.87,24.0,34.0,7.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],1
Corridor Efficiency Improvement including removal of black spots in Lakhanpur - Samba section of NH-44 from Chainage Km. 16.300 to Km. 74.100,National Highways Authority of India [NHAI],618550,855.74,197.46,74.63,18.0,40.0,6.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
Upgradation and Strengthening of Chenani to Nashri Section via Patnitop of NH244 from Km 0.000 to Km 39.100,National Highways Authority of India [NHAI],618967,295.06,175.81,63.8,24.0,20.0,5.0,"Jammu and
Kashmir",National Highways Authority of India [NHAI],0
Construction/upgradation to 2-lane with paved shoulder from Design Km 95.55 Bandarkoot to Km. 111.06 Chattroo of 15.52 Km length on Khellani-Kishtwar-Chattroo section on NH-244 in UT of Jammu and Kashmir on EPC Mode Pkg-5,NHIDCL,619038,497.09,240.1,99.97,18.0,56.0,5.0,"Jammu and
Kashmir",NHIDCL,0
Widening and Strengthening of existing paveemnt to two lane with paved shoulders from km 116.00 to km 176.355 of NH-75E in the State of Jharkhand on EPC mode.,MoRTH,618060,315.21,129.54,87.0,18.0,39.0,12.0,Jharkhand,MoRTH,0
Construction of byepass around Lohardaga town of NH-143A in the Sate of Jharkhand under EPC mode.,MoRTH,618083,458.78,0.0,3.0,24.0,27.0,23.0,Jharkhand,MoRTH,0
Widening to 2-lane with paved shoulder from km 0.00 to 44.00 Kuru-Ghaghra section of NH-143A including re-construction of culverts and bridges.,MoRTH,618084,153.01,84.74,93.0,24.0,56.0,18.0,Jharkhand,MoRTH,0
Widening and Strengthening/Reconstruction to Two Lane with Paved Shoulder/ Two Lane with paved shoulders with service road from km 0000 to km 42250 excluding design Ch. 03220 to 04200 & 28350 to 29060 of NH-320G in the state of Jharkhand under EPC mode,MoRTH,618123,423.18,4.11,0.0,24.0,32.0,17.0,Jharkhand,MoRTH,0
Construction of 2- Lane with paved shoulder from km 56.45 Dharampur More to 93.050 Pakur of NH-333A in the State of Jharkhand on EPC mode,MoRTH,618127,255.73,0.0,8.5,18.0,5.0,32.0,Jharkhand,MoRTH,0
Widening and Reconstruction to 4-lane/4-lane with service road including structures from Pokharia More at Km 47.600 Ex. Km 50.230 to Govindpur at km 62.949 Ex. Km 65.325 of Nh-419 in the State of Jharkhand on EPC mode.,MoRTH,618242,300.46,76.93,46.22,24.0,27.0,20.0,Jharkhand,MoRTH,0
Construction of Six lane elevated flyover including reconstruction/rehabilitation of existing pavement from Km 406100 to Km 411150 Length 5.05 Km at Gobindpur area in the Barwa Adda Panagarh section of NH-19 from Km.398.240 to Km.521.120 including Panagarh Bypass in the State of Jharkhand on EPC Mode.,National Highways Authority of India [NHAI],618535,687.77,33.97,11.8,30.0,7.0,8.0,Jharkhand,National Highways Authority of India [NHAI],0
4 Lane of CG/JH Border-Gumla from km 0.000 to km 32.370 of NH-43 in the State of Jhrkhand,National Highways Authority of India [NHAI],618641,1325.8,13.83,1.0,24.0,2.0,18.0,Jharkhand,National Highways Authority of India [NHAI],0
4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,National Highways Authority of India [NHAI],618642,1882.93,891.94,98.96,23.0,48.0,25.0,Jharkhand,National Highways Authority of India [NHAI],1
4L of Ormanjhi-Gola section from Km 81.450 to Km 53.600 of NH- 320BPKG-II,National Highways Authority of India [NHAI],618644,1214.93,837.8,86.57,24.0,34.0,16.0,Jharkhand,National Highways Authority of India [NHAI],1
4L of Gola-BokaroJaina More section from Km 53.600 to Km 21.110 of NH-320PKG-1,National Highways Authority of India [NHAI],618645,1007.97,437.79,78.1,24.0,34.0,16.0,Jharkhand,National Highways Authority of India [NHAI],1
4L Elevated corridor of Kalimandir-Dimna Chowk-Baliguma Jamshedpur Section of NH-33 New NH-18 from km 241940 to km 251961 Length 10.021 km,National Highways Authority of India [NHAI],618736,936.26,281.39,43.21,30.0,19.0,6.0,Jharkhand,National Highways Authority of India [NHAI],0
Grade separated Interchanges at Km. 113.730 junction with Ranchi Hazaribagh Road & Km. 139.225 junction with Ranchi Jamshedpur road on 4L Ranchi Bypass of NH-33,National Highways Authority of India [NHAI],618737,303.53,3.16,0.0,24.0,4.0,11.0,Jharkhand,National Highways Authority of India [NHAI],0
4L from km 196.87 Sankha to km 219.6 Khajuri on NH-75 [Rehla / Garhwa Bypass],National Highways Authority of India [NHAI],618829,1129.48,527.11,93.45,24.0,54.0,13.0,Jharkhand,National Highways Authority of India [NHAI],0
4L from Km 147.450 Bhogu to Km 196.870 Sankha on NH-75 Sec-III,National Highways Authority of India [NHAI],618830,1517.87,991.9,76.95,24.0,29.0,13.0,Jharkhand,National Highways Authority of India [NHAI],1
4L from Km 95.400 Udaipura to Km 147.450 Bhogu on NH-75 Sec-II,National Highways Authority of India [NHAI],618831,1436.8,200.87,26.6,24.0,18.0,19.0,Jharkhand,National Highways Authority of India [NHAI],0
4L from Km 55.00 Kuru to Km 95.400 Udaipura on NH-75 Sec-I,National Highways Authority of India [NHAI],618832,1274.82,41.83,5.0,24.0,3.0,23.0,Jharkhand,National Highways Authority of India [NHAI],0
Barhi-Koderma Section of NH31 km 0.00 - km 27.5,National Highways Authority of India [NHAI],618863,662.44,478.57,98.5,57.0,77.0,33.0,Jharkhand,National Highways Authority of India [NHAI],1
4L of Mehgama - Hansdiha from km. 41.900 to km. 93.000 of NH -133A Pkg-II,National Highways Authority of India [NHAI],618946,1479.72,878.2,99.5,24.0,35.0,14.0,Jharkhand,National Highways Authority of India [NHAI],1
4L of NH-80 from km 215.00 to km 260.00 Mirza Chauki to Farkka Pkg-I,National Highways Authority of India [NHAI],618947,1504.8,804.61,91.83,19.0,52.0,45.0,Jharkhand,National Highways Authority of India [NHAI],1
4L of Basukinath- Deoghar Section of NH-114A,National Highways Authority of India [NHAI],618949,1444.94,648.92,86.44,24.0,28.0,15.0,Jharkhand,National Highways Authority of India [NHAI],1
Construction of Bypass to NH-114A Connecting NH-333 and NH-133 Deoghar Bypass from design km 0.000 to design Km 49.000,National Highways Authority of India [NHAI],618950,1565.47,48.97,5.02,24.0,3.0,14.0,Jharkhand,National Highways Authority of India [NHAI],0
Construction of bypass around Chatra Town on NH-22 old NH-99 in the state of Jharkhand under EPC Mode,MoRTH,619005,235.42,0.0,12.0,24.0,3.0,34.0,Jharkhand,MoRTH,0
"Construction of Elevated corridor from Km. 135.650 to 136.300 on 63, from Km. 249 to Km. 250.050 on old NH-4 and from Km. 192.910 to Km. 193.350 on NH-218 from decongestion of traffic in Ranichennamma circle in Hubli city in the state of Karnataka on EPC basis",MoRTH,617935,298.0,167.23,52.0,36.0,58.0,10.0,Karnataka,MoRTH,1
Construction of Srinivasapura Bypass from existing Km 453.890 Design Ch. 0000 to existing Km 461.450 Design Ch 10080 on NH-69 in the State of Karnataka Under NH O in EPC mode under Annual Plan 2022-23 NH-69-KNT-2022-23-966 dated 22.11.2022,MoRTH,617950,204.42,0.0,0.0,18.0,9.0,32.0,Karnataka,MoRTH,0
Construction of Chintamani Bypass from Design Ch.0000 Existing Ch.428880 to Design Ch.15400 Existing Ch.444010 on NH-69 in the State of Karnataka in EPC Mode under NHO Annual Plan 2022-23. NH-69-KNT-2022-23-989 dated 24.03.2023,MoRTH,617951,314.55,0.0,0.0,18.0,3.0,34.0,Karnataka,MoRTH,0
Balance work of Rehabilitation and upgrading to 2lane/2lane with paved shoulder configuration and strengthening from from Km 343.80 to 400.33 of Gowribidanur-Chik Ballapur section in the state of Karnataka Under Annual Plan 2021-22 under EPC Mode.-952,MoRTH,617954,398.48,211.59,93.25,24.0,38.0,11.0,Karnataka,MoRTH,0
Widening to two lane with paved Shoulders from Km 40.00 to Km 75.00 Existing chainages of Mangalore - Tumkur section of NH-73 in the State of Karnataka on EPC Mode under Annual Plan 2021-22 Job No NH-73-KNT-2021-22-945,MoRTH,617955,718.52,308.84,82.0,24.0,37.0,12.0,Karnataka,MoRTH,0
Construction of Major Bridge at Km.180.865 across river Krishna on NH 167 Hagari Jadcherla section,MoRTH,617989,157.32,103.33,68.0,30.0,83.0,2.0,Karnataka,MoRTH,1
Widening to existing 2 lane with paved Shoulder to 4 Lane with paved shoulder from design Km 153.00 to 168.27 Mala Gate to Karkala of NH -169 on Shimoga - Mangalore section in the state of Karnataka on EPC mode under Annula Plan 2021-22 Job No. NH-169-KNT-2021-22-949,MoRTH,617998,177.94,108.93,75.0,24.0,38.0,11.0,Karnataka,MoRTH,0
Widening to 2LPS from Km 67 to Km 115 on Kadur-Hosadurga section NH 173 in the state of Karnataka NH-173-KNT-2022-23-980 dated 13.03.2023,MoRTH,617999,471.62,80.08,64.33,19.0,19.0,18.0,Karnataka,MoRTH,0
Widening to 2-Lane with Paved Shoulders from Km 116.800 to 149.070Design Changes on Hosadurga - Holalkere Section of NH-173 in the State of Karnataka on EPC mode under Annual Plan 2021-22 Job no. NH-173-KNT-2021-22-946,MoRTH,618000,170.34,106.88,92.65,18.0,44.0,5.0,Karnataka,MoRTH,0
Widening to 2LPS from Km 71.00 to 104.00 Existing chainages Sarjapur to Pattadkallu on Bhanapur to Gaddanakeri section NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23 NH-367-KNT-2022-23-972 dated 08.02.2023,MoRTH,618027,445.62,0.0,65.0,24.0,25.0,13.0,Karnataka,MoRTH,0
"Construction of Bypass at Kuknoor, Yelburga, Gajendragada of Bhanapur Gaddanakeri section of NH-367 in the State of Karnataka under NHO on EPC mode under Annual Plan 2022-23. NH-367-KNT-2022-23-973 dated 08.02.2023",MoRTH,618028,333.96,40.61,20.0,24.0,10.0,28.0,Karnataka,MoRTH,0
Widening to 4 lane from Km. 133.00 to 158.04 design Chainage Km. 130.88 to 155.145 Shirur Cross to Gaddankeri of NH-367 in the State of Karnataka on EPC mode. Job No. NH-367-KNT-2021-22-930,MoRTH,618029,350.69,191.38,78.08,24.0,39.0,12.0,Karnataka,MoRTH,0
Widening to 2 lane with paved shoulder from Km. 103.225 Pattadakal to Km. 133.00 Shirur cross of NH-367 in the state of Karnataka on EPC Mode.Job No. NH-367-KNT- 2021-22-934,MoRTH,618030,264.14,3.58,0.0,18.0,41.0,9.0,Karnataka,MoRTH,0
Balance work of Construction of Two/Four lane with paved shoulder from Km 422.000 to 523.600 Chitradurga to Shivamogga of NH-13 in the state of Kanataka on EPC mode.,MoRTH,618031,516.96,105.08,75.0,48.0,52.0,11.0,Karnataka,MoRTH,0
"Widening to Two Lane with Paved Shoulders from KB Cross to Chunchanahalli ie., Design Ch. 485240 Km Existing Km 494.000 to Design Ch. 523393 Km Existing km 533.152 & From Design Ch. 530393 Existing Km 540.175 to Design Ch. 534476 Existing Km 544.200 at Nelligere of NH-150A on EPC mode under Annual Plan 2022-23 NH-150A-KNT-2022-23-977 dated 08.03.2023",MoRTH,618086,617.28,4.47,40.0,18.0,9.0,28.0,Karnataka,MoRTH,0
Widening to intermediate/two lane to 2 lane with paved shoulder from Existing chanages Km 112.750 to 142.00 Liingasur to Mudabal cross & from Km. 147.070 to Km. 149.070 Maski city limit of Jewargi Chamrajnagar setion of NH-150A in the state of Karnataka on EPC mode. Job No. NH-150A-KNT-2021-22-951,MoRTH,618087,255.88,179.66,93.0,18.0,39.0,10.0,Karnataka,MoRTH,0
Widening to Two Lane with Paved Shoulders from Km 0.00 Design Chainage 0.00 to Km 23.338 Design Chainage 23310 of NH-166E MH/KNT Border- Kanamadi- Bijjargi- Tikota section in the state of Karnataka in EPC Mode under Annual plan 2022-23 NH- 166E-KNT-2022-23-974,MoRTH,618095,196.05,0.0,30.0,18.0,19.0,19.0,Karnataka,MoRTH,0
Widening to 4 lane from Km 51.60 to 76.20 Hebri to Parkala and from Km 85.20 to 88.90 Karavali junction to Malpe of Thirthahalli-Udupi-Malpe Section of NH-169A in the State of Karnataka on EPC Mode under Annual plan 2021-22 Job No. NH-169A- KNT-2021-22-927,MoRTH,618109,355.72,184.79,76.86,24.0,40.0,11.0,Karnataka,MoRTH,0
Construction of Major Bridge Across Sharavathi Backwaters and approches between Ambargodu and Kalasavalli Near Sigandhur in Sagar Taluk on NH 369E in the State of Karnataka on EPC mode.Job No. NH-369E-KNT-2018-19-895 dated 06.03.2019.,MoRTH,618144,423.15,0.0,0.0,36.0,76.0,9.0,Karnataka,MoRTH,0
Widening to 2 Lane with Paved Shoulders from design Km 103.200 Existing Km 103.200 to design Km 116.700 Existing Km 118.470 on AP/KNT Border to Sira Section of NH-544E in the State of Karnatakaon EPC mode under Annual plan 2022- 23,MoRTH,618147,166.58,35.33,40.0,18.0,25.0,14.0,Karnataka,MoRTH,0
Widening to two lane with paved shoulders from Km 0.00 to 102.310 Design Chainage of NH-548B Murrum-Maharashtra Border in the State of Karnataka,MoRTH,618149,957.09,248.13,0.0,24.0,15.0,23.0,Karnataka,MoRTH,0
Construction of 2 Lane with paved shoulder from km 55.6 to km 90.7 existing chainages of NH-766C complete Realignment of 13.76 km with 2 major Bridges across Sharavathi Backwaters on EPC mode under Annual Plan 2022-23 in the state of Karnataka NH-766C-KNT-2022-23 dated 14.10.2022,MoRTH,618184,313.56,0.0,46.52,24.0,26.0,13.0,Karnataka,MoRTH,0
Widening to 2LPS from Km 0.000 to 37.850 Except Ex. Km 24.45 to 27.20 of NH-766c Byndoor-Ranebennur Section in the state of Karnataka on EPC Mode under Annual Plan 2022-23 NH-766C-KNT-2022-23-969 dated 30.12.2022,MoRTH,618185,394.95,0.0,0.0,24.0,8.0,32.0,Karnataka,MoRTH,0
Widening to Two Lane with Paved Shoulder of NH-73 New Spur Road Ujire - Dharmasthala - Periyashanthi in the State of Karnataka under on HAM under NHO Annual Plan 2023-24Job No NH-73Spur-KNT-2023-24-996,MoRTH,618189,613.65,0.0,0.0,24.0,5.0,22.0,Karnataka,MoRTH,0
4/6L of Bangalore - Pune Section of bypass connecting Dharwad - Hubli from km. 403.80 to km. 433.20,National Highways Authority of India [NHAI],618517,1135.39,732.44,82.89,30.0,37.0,15.0,Karnataka,National Highways Authority of India [NHAI],0
Davanagere - Haveri of NH-48 Old NH-4 from km. 260.00 to km. 338.923,National Highways Authority of India [NHAI],618518,1454.67,690.56,98.87,30.0,99.0,12.0,Karnataka,National Highways Authority of India [NHAI],1
