project_name,project_code,legacy_ocms_code,original_cost,expenditure,physical_progress,planned_duration_months,project_age_months,approval_to_start_months,State,agency,cost_overrun_flag
INTEGRATED KULDA GARJANBAHAL O,Mahanadi Coalfields Limited [MCL],616226,3563.5,672.78,6.18,119.0,36.0,0.0,Odisha,Mahanadi Coalfields Limited [MCL],0
BHUBANESWARI EXPN OCP 50 MTY,MCL - CIL,616231,5366.27,477.39,32.47,108.0,25.0,0.0,Odisha,MCL - CIL,0
HINGULA II OC EXPN PH III 15 M,MCL - CIL,616232,1561.85,279.32,29.19,76.0,41.0,0.0,Odisha,MCL - CIL,0
BALABHADRA OCP,MCL - CIL,616233,978.44,251.55,15.24,83.0,36.0,0.0,Odisha,MCL - CIL,0
Talabira II & III OCP - FMC,NLC India Limited [NLCIL],618982,522.45,324.74,72.65,37.0,35.0,7.0,Odisha,NLC India Limited [NLCIL],0
Jawahar Khani Open Cast Mine,Singareni Collieries Company Limited [SCCL],615818,297.88,47.48,20.0,39.0,52.0,0.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Kalyanikhani Opencast Project,Singareni Collieries Company Limited [SCCL],615858,384.32,291.01,75.0,106.0,107.0,14.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Godavarikhani Coal Mine - 5,Singareni Collieries Company Limited [SCCL],615860,607.04,200.06,71.0,70.0,83.0,-2.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Indaram Opencast Project,Singareni Collieries Company Limited [SCCL],615861,424.81,406.81,81.0,27.0,40.0,64.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Goleti Opencast Mine,Singareni Collieries Company Limited [SCCL],615862,345.6,111.15,32.0,55.0,56.0,1.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Venkatesh Khani Coal Mine,Singareni Collieries Company Limited [SCCL],615863,484.5,477.14,97.0,69.0,70.0,-4.0,Telangana,Singareni Collieries Company Limited [SCCL],0
Kakatiyakhani OC - 2 Project,Singareni Collieries Company Limited [SCCL],615865,442.42,252.26,63.0,90.0,103.0,1.0,Telangana,Singareni Collieries Company Limited [SCCL],0
MOHANPUR EXPANSION OC -PHASE I,Eastern Coal Fields Limited [ECL],400173,888.99,142.55,31.52,64.0,65.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
BONJEMEHARI EXPANSION OCP,Eastern Coal Fields Limited [ECL],400180,570.11,88.78,17.1,55.0,56.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
NAKRAKONDA KUMARDIH- B OCP,Eastern Coal Fields Limited [ECL],400181,502.68,83.8,27.52,127.0,92.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
SIDULI [OC & UG],ECL - CIL,400182,535.18,5.74,14.61,106.0,95.0,0.0,West Bengal,ECL - CIL,0
TILABONI UG,Eastern Coal Fields Limited [ECL],400186,749.08,53.88,11.9,74.0,39.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
JHANJRA EXPANSION UG,Eastern Coal Fields Limited [ECL],400312,1210.12,619.6,45.48,107.0,72.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
SONEPUR BAZARI EXPANSION OCP [,Eastern Coal Fields Limited [ECL],400315,5365.88,623.88,18.47,92.0,57.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
2.0 MTPA BHOJUDIH NLW WASHERY,Ministry of Coal,611016,384.57,363.14,97.6,18.0,85.0,39.0,West Bengal,Ministry of Coal,0
ITAPARA OCP,Eastern Coal Fields Limited [ECL],612816,929.1,71.23,8.35,75.0,28.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
SHYAMSUNDARPUR UG INCLUDING SA,Eastern Coal Fields Limited [ECL],613793,483.65,77.79,16.79,71.0,72.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
PARASEA-BELBAID UG PROJECT,Eastern Coal Fields Limited [ECL],613794,389.1,132.48,22.13,62.0,39.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
PARASCOLE JAMBAD OCP,Eastern Coal Fields Limited [ECL],616230,1193.55,11.42,0.22,148.0,17.0,0.0,West Bengal,Eastern Coal Fields Limited [ECL],0
50 MW Wind Power Project,NLC India Limited [NLCIL],617299,383.84,328.56,51.0,17.0,27.0,18.0,Gujarat,NLC India Limited [NLCIL],0
600 MW Khavda Solar Power Project,NLC India Limited [NLCIL],617730,3335.85,2171.16,40.0,24.0,22.0,10.0,Gujarat,NLC India Limited [NLCIL],0
