rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,revised_cost,expenditure,physical_progress,cost_overrun_percent,schedule_change_months,expenditure_progress_gap,cost_risk,schedule_risk,progress_risk,financial_risk,rule_based_score,ml_score,final_risk_score,risk_level,risk_reasons
219,Rehabilitation and upgradation of NH-221 from km 121/0 to 165/0 Rudrampur to Bhadrachalam section to two lane with paved shoulder under NHDPIV in the state of Telangana through EPC mode,MoRTH,619193,Telangana,MoRTH,295.47,334.82,375.14,82.76,13.317764916912026,111.0,29.282291380443212,50,100,0,75,56.25,67.3208,60.67831993103027,HIGH,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
220,Construction of Approach Road to Rail-cum- Road Bridge across river Ganga at Munger Ghat NH-333 B,NHAI,619301,Bihar,NHAI,537.88,633.91,200.58,99.99,17.85342455566297,61.0,-68.34828429903298,50,100,0,0,45.0,84.16172,60.66468811035156,HIGH,Cost overrun above 10% | Schedule delay above 6 months
221,Delhi-Amritsar-Katra Expressway Phase-II Pkg-XVI Existing Jakh Vijaypur-Kunjwani section of NH-44 including spur Connectivity to Jammu Airport NH-144A [Km 503500 to km 514500],National Highways Authority of India [NHAI],618496,"Jammu and
Kashmir",National Highways Authority of India [NHAI],1821.72,2522.56,1174.58,94.14,38.471334782513225,24.0,-47.576984650513765,75,75,0,0,45.0,84.15703,60.662811279296875,HIGH,Cost overrun above 10% | Schedule delay above 6 months
222,4L Kodinar - Veraval Package VI from km. 222.400 to km. 230.00 Kodinar Bypass of NH-8E NH 51 new,National Highways Authority of India [NHAI],618834,Gujarat,National Highways Authority of India [NHAI],162.73,192.01,174.82,100.0,17.99299453081792,19.0,-8.952658715691882,50,75,0,0,37.5,95.21205,60.58481979370117,HIGH,Cost overrun above 10% | Schedule delay above 6 months
223,Ahmedabad - Dholera Pkg I from km. 0.00 to km. 22.00 [Sardar Patel Ring Road - Sindhrej Village],National Highways Authority of India [NHAI],618501,Gujarat,National Highways Authority of India [NHAI],1298.0,1421.05,1012.45,100.0,9.47996918335901,28.0,-28.75338658034552,25,100,0,0,37.5,95.17984,60.571937561035156,HIGH,Schedule delay above 6 months
224,Srikakulam Angul Gas Pipeline Project,Ministry of Petroleum & Natural Gas,701343,"Multi-States
(Andhra Pradesh,
Odisha)",Ministry of Petroleum & Natural Gas,2658.34,2810.0,2315.2,97.6,5.705064062535261,47.0,-15.208540925266902,25,100,0,0,37.5,95.16576,60.56630325317383,HIGH,Schedule delay above 6 months
225,4L of Beas-Mehta-Batala-Dera Baba Nanak from intersection with Jalandhar-Amritsar Highway NH-3 near Beas till start of Batala Bypass near Village Acchhal from Km. 0.000 to Km. 31.300 Pkg-1,National Highways Authority of India [NHAI],618809,Punjab,National Highways Authority of India [NHAI],809.51,966.99,499.54,65.99,19.45374362268533,23.0,-14.330727411865674,50,75,40,0,47.5,79.98487,60.493947982788086,HIGH,Cost overrun above 10% | Schedule delay above 6 months
226,4 laning of Champa - Korba from km 0.00 to km 38.2,National Highways Authority of India [NHAI],618957,Chhattisgarh,National Highways Authority of India [NHAI],1002.33,1304.47,780.84,98.75,30.14376502748595,28.0,-38.8912067736322,75,100,0,0,52.5,72.28725,60.414899826049805,HIGH,Cost overrun above 10% | Schedule delay above 6 months
227,Delhi-Vadodara Greenfield Alignment NH-148N Pkg-28 Ch.756052 to Ch.781282,National Highways Authority of India [NHAI],618460,Gujarat,National Highways Authority of India [NHAI],1263.38,1266.98,865.87,100.0,0.2849498963098916,30.0,-31.658747572968792,25,100,0,0,37.5,94.73344,60.393375396728516,HIGH,Schedule delay above 6 months
228,Dwarka Expressway Pkg-III Delhi/HR Border to Start of RoB Gurugram,National Highways Authority of India [NHAI],618577,"Multi-States (Delhi,
Haryana)",National Highways Authority of India [NHAI],2228.26,2298.37,991.43,100.0,3.1464012278638784,66.0,-56.863777372659754,25,100,0,0,37.5,94.61806,60.347225189208984,HIGH,Schedule delay above 6 months
229,6L Amritsar-Bathinda Greenfield section from Jn. with Moga Jalandhar road NH-703 near Dharamkot to Jn. with Bhagta Bhai Ka-Bhadaur Road near Dyalpura Bhai Ka from km 39.000 to km 93.000 of NH-754A Pkg-2,National Highways Authority of India [NHAI],619099,Punjab,National Highways Authority of India [NHAI],1801.37,2172.71,597.42,64.2,20.6143102194441,12.0,-36.703463416654785,50,50,40,0,40.0,90.813354,60.32534408569336,HIGH,Cost overrun above 10% | Schedule delay above 6 months
230,4L of Bettadahalli- Shivamogga section from Km.170.415 to km. 226.750 of NH-206 Tumkur- Shivamogga Pkg-IV,National Highways Authority of India [NHAI],618887,Karnataka,National Highways Authority of India [NHAI],2082.98,2545.11,865.7,82.88,22.18600274606574,41.0,-48.86575307157647,50,100,0,0,45.0,83.301025,60.320411682128906,HIGH,Cost overrun above 10% | Schedule delay above 6 months
231,Yeshvanthpur - Channasandra Doubling Project [21.70 Km],Karnataka Rail Infrastructure Development Company Limited [K-RIDE],703585,Karnataka,Karnataka Rail Infrastructure Development Company Limited [K-RIDE],314.1,683.57,171.0,56.5,117.62814390321554,24.0,-31.48427373933906,100,75,40,0,62.5,56.976364,60.29054641723633,HIGH,Cost overrun above 10% | Schedule delay above 6 months
232,Four Laning of Angul to Sambalpur from Km.112.000 to Km.265.000,National Highways Authority of India [NHAI],619118,Odisha,National Highways Authority of India [NHAI],2510.04,2632.91,1194.15,99.98,4.895141113289027,81.0,-54.62524043738677,25,100,0,0,37.5,94.32489,60.229957580566406,HIGH,Schedule delay above 6 months
233,Hassan km 184.912 to Maranahally km 230.060 of NH - 75 in Karnataka,National Highways Authority of India [NHAI],619117,Karnataka,National Highways Authority of India [NHAI],1021.57,1091.4,697.83,97.8,6.8355570347602255,86.0,-33.86102253985707,25,100,0,0,37.5,94.264275,60.205711364746094,HIGH,Schedule delay above 6 months
234,Doubling of Kirandul-Jagdalpur Line [150 km],East Coast Railway [ECoR] - II,400291,Chhattisgarh,East Coast Railway [ECoR] - II,1589.0,1798.0,1656.54,97.6,13.1529263687854,85.0,-5.467630700778642,50,100,0,0,45.0,82.69624,60.07849884033203,HIGH,Cost overrun above 10% | Schedule delay above 6 months
235,Development of 6L UER II [Package - I] NH-1 Near Bakoli till Karala Kanjhawala Road from km. 0.70 to km.15.00,National Highways Authority of India [NHAI],618509,Delhi,National Highways Authority of India [NHAI],2089.94,2203.45,1803.73,99.99,5.431256399705243,31.0,-18.13064308243888,25,100,0,0,37.5,93.8145,60.02579879760742,HIGH,Schedule delay above 6 months
236,Satara Km 725.000 to Pune Km 865.350 of NH - 4 New NH - 48 in Maharashtra,National Highways Authority of India [NHAI],619069,Maharashtra,National Highways Authority of India [NHAI],361.72,425.51,64.35,99.05,17.63518743779718,49.0,-83.92697116401494,50,100,0,0,45.0,82.19759,59.8790397644043,HIGH,Cost overrun above 10% | Schedule delay above 6 months
237,Vadodara Mumbai Expressway Phase II - Pkg XV [Km. 20.200 to Km. 43.000 of Spur] Akloli - Amne,National Highways Authority of India [NHAI],618471,Maharashtra,National Highways Authority of India [NHAI],2610.88,2918.39,621.7,91.5,11.77802120357886,25.0,-70.1971583647148,50,100,0,0,45.0,82.09448,59.83779525756836,HIGH,Cost overrun above 10% | Schedule delay above 6 months
238,4L of Bal Works of Mahuva to Kagvadar from 100.450 Km. to 140.470 Km. of NH-8E Pkg- III,National Highways Authority of India [NHAI],619147,Gujarat,National Highways Authority of India [NHAI],603.08,628.49,624.41,99.71,4.213371360350196,40.0,-0.3591750067622428,25,100,0,0,37.5,93.34202,59.83680725097656,HIGH,Schedule delay above 6 months
239,Simaria Km. 206.050 to Khagaria Km. 266.282,National Highways Authority of India [NHAI],618840,Bihar,National Highways Authority of India [NHAI],664.02,891.64,351.77,97.67,34.27908797927773,87.0,-58.21797900497959,75,100,0,0,52.5,70.711296,59.78451919555664,HIGH,Cost overrun above 10% | Schedule delay above 6 months
240,Guntur-Guntakal Doubling Project,South Central Railway [SCR] - II,705633,Andhra Pradesh,South Central Railway [SCR] - II,3733.0,4295.0,5523.6,94.01,15.054915617465843,12.0,34.59535506402794,50,50,0,75,41.25,87.520134,59.758052825927734,HIGH,Cost overrun above 10% | Schedule delay above 6 months | Expenditure is significantly ahead of physical progress | Expenditure exceeds revised project cost
241,Umagaon-Saharsa Package-IV Koshi Bridge & approach Road - Bheja-Bakaur,NHAI,618953,Bihar,NHAI,1199.58,1223.94,1120.87,89.23,2.0307107487620777,43.0,2.348835563834811,25,100,0,0,37.5,93.04098,59.716392517089844,HIGH,Schedule delay above 6 months
242,"Dallirajhara - Rowghat New Rail Line Project, Phase-I",Rail Vikas Nigam Limited,617374,Chhattisgarh,Rail Vikas Nigam Limited,1516.45,1881.26,2124.32,98.0,24.05684328530449,11.0,14.920064212283265,50,50,0,40,36.0,95.22267,59.68906936645507,HIGH,Cost overrun above 10% | Schedule delay above 6 months | Expenditure exceeds revised project cost
243,Khammam-Devarapalle Pkg V [4L Access Controlled Greenfield from Gurvaygudem village to Devarapalle village Design Chainage 132664 to 162126,National Highways Authority of India [NHAI],618749,Andhra Pradesh,National Highways Authority of India [NHAI],711.94,926.48,422.97,99.66,30.134561901283806,21.0,-54.00655901908298,75,75,0,0,45.0,81.63801,59.65520477294922,HIGH,Cost overrun above 10% | Schedule delay above 6 months
244,Sanchore - Santalpur from km 99.000 - km 130.073 of NH-754K AJ-RGBS-Package-4,National Highways Authority of India [NHAI],618615,Gujarat,National Highways Authority of India [NHAI],778.15,835.55,663.38,99.7,7.376469832294543,38.0,-20.305589132906466,25,100,0,0,37.5,92.88219,59.65287399291992,HIGH,Schedule delay above 6 months
245,Ludhiana- Killa Raipur Railway Doubling Project,Railway,705783,Punjab,Railway,237.64,238.0,137.05,57.0,0.1514896482073782,23.0,0.584033613445385,25,75,40,0,40.0,89.0664,59.62656021118164,HIGH,Schedule delay above 6 months
246,4/6 Laning of Raipur-Simga Pkg-I from km. 0.00 to km. 48.58,National Highways Authority of India [NHAI],619103,Chhattisgarh,National Highways Authority of India [NHAI],1096.52,1172.36,107.31,100.0,6.916426512968292,97.0,-90.8466682588966,25,100,0,0,37.5,92.7628,59.60512161254883,HIGH,Schedule delay above 6 months
247,"Construction of 200 Bedded ESIC Hospital at Butibori, Nagpur, Maharashtra.",Employee's State Insurance Company [ESIC],612213,Maharashtra,Employee's State Insurance Company [ESIC],194.93,196.7,114.39,65.5,0.9080182629661836,13.0,-7.345449923741739,25,75,40,0,40.0,88.84244,59.5369758605957,HIGH,Schedule delay above 6 months
248,4L Tumkur-Shimoga Pkg-I from Mallasandra to Karadi village of NH-206 from Km. 12.300 to Km. 65.195,National Highways Authority of India [NHAI],619218,Karnataka,National Highways Authority of India [NHAI],1364.14,1692.12,552.09,100.0,24.042986790212133,56.0,-67.37288135593221,50,100,0,0,45.0,81.188385,59.4753532409668,HIGH,Cost overrun above 10% | Schedule delay above 6 months
249,Salem - Ulundurpet section from km 0.313 to km 136.670 of NH-68,National Highways Authority of India [NHAI],618943,Tamil Nadu,National Highways Authority of India [NHAI],861.23,1019.85,137.29,100.0,18.417844246020227,184.0,-86.5382164043732,50,100,0,0,45.0,81.08663,59.434654235839844,HIGH,Cost overrun above 10% | Schedule delay above 6 months
250,4L Greenfield Alignment of Shivrampur to Ramnagar from Km. 55.002 to Km. 109.300 of NH 119 D Pkg-II,National Highways Authority of India [NHAI],618740,Bihar,National Highways Authority of India [NHAI],1494.31,1546.07,264.72,43.6,3.463806037569179,23.0,-26.477877457036225,25,75,75,0,48.75,75.21826,59.33730506896973,HIGH,Schedule delay above 6 months | Low physical progress
251,Construction/Up gradation of Existing road to 2 Lane with Paved Shoulder including Geometric Improvement from Ranipool to Pakyong Balance work from Km 2.000 to 16.167 of NH-717-A on EPC basis under SARDP-NE Phase A in the State of Sikkim,NHIDCL,618426,Sikkim,NHIDCL,264.84,380.94,0.0,85.15,43.837788853647496,29.0,-85.15,75,100,0,0,52.5,69.37036,59.24814414978027,HIGH,Cost overrun above 10% | Schedule delay above 6 months
252,Pipli Bhavnagar-Package 1 from km 136.025 to km 169.328,National Highways Authority of India [NHAI],618699,Gujarat,National Highways Authority of India [NHAI],819.14,1297.38,188.7,100.0,58.38318236198942,,-85.45530222448319,100,50,0,0,45.0,80.610054,59.244022369384766,HIGH,Cost overrun above 10%
253,Permanent rectification of 3 nos. of black spots in project Highway NH-27 of U.P border - Dewapur - Kotwa section from Km.360.915 to km.440.000 Total Length of 79.085 Km of NH-27& Permanent rectification of 5 nos. of black spots of project Highway NH-27 of Kotwa - Mehsi - Muzaffarpur Section from km.440.000 to km.520.000 Total length 80.00Km,National Highways Authority of India [NHAI],618571,Bihar,National Highways Authority of India [NHAI],227.25,321.23,224.1,80.46,41.35533553355336,7.0,-10.696901908290002,75,50,0,0,37.5,91.75153,59.20061492919922,HIGH,Cost overrun above 10% | Schedule delay above 6 months
254,Delhi-Amritsar-Katra Expressway Phase-I Pkg-XI from Junction with Jalandhar - Kapurthala road NH-703A near khojewal village to Junction with Amritsar-Mehta- SriHargobindpur-Tanda road NH-503A near SriHargobindpur Km 319400 to km 362420,National Highways Authority of India [NHAI],618491,Punjab,National Highways Authority of India [NHAI],2175.35,2206.71,941.19,43.45,1.4416070977084203,,-0.7987227592207375,25,50,75,0,41.25,86.08741,59.18496322631836,HIGH,Low physical progress
255,Barauni Refinery Capacity Expansion from 6.0 to 9.0 MMTPA,Ministry of Petroleum & Natural Gas,701324,Bihar,Ministry of Petroleum & Natural Gas,14810.0,16724.0,12872.04,90.9,12.923700202565833,40.0,-13.932528103324556,50,100,0,0,45.0,80.33294,59.133174896240234,HIGH,Cost overrun above 10% | Schedule delay above 6 months
256,Numaligarh Refinery Expansion Project,Ministry of Petroleum & Natural Gas,604791,Assam,Ministry of Petroleum & Natural Gas,12366.0,22494.0,19522.33,84.6,81.90198932557011,32.0,2.1890548590735364,100,100,0,0,60.0,57.441788,58.976715087890625,HIGH,Cost overrun above 10% | Schedule delay above 6 months
257,6L Greenfield Kaliagura Baunsaguar Section of NH-130-CD Road from km 249000 to km 293000 Package OD-5,National Highways Authority of India [NHAI],618677,Odisha,National Highways Authority of India [NHAI],1539.75,1918.49,981.3,94.81,24.59749959408995,25.0,-43.66039796923623,50,100,0,0,45.0,79.90432,58.96172904968262,HIGH,Cost overrun above 10% | Schedule delay above 6 months
258,Moga - Bagha Purana - Bajakhana from km. 0.00 to km. 43.32,National Highways Authority of India [NHAI],618764,Punjab,National Highways Authority of India [NHAI],1032.59,1264.17,663.72,76.0,22.427100785403713,17.0,-23.49756757398135,50,75,0,0,37.5,90.956085,58.8824348449707,HIGH,Cost overrun above 10% | Schedule delay above 6 months
259,CONSTRUCTION OF PERMANENT CAMPUS FOR IIT PALAKKAD UNDER PHASE 1A,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,606431,Kerala,INDIAN INSTITUTE OF TECHNOLOGY PALAKKAD,1006.45,1217.4,680.69,86.0,20.959809230463513,48.0,-30.08657795301462,50,100,0,0,45.0,79.688614,58.87544631958008,HIGH,Cost overrun above 10% | Schedule delay above 6 months
260,Life Extension of 48 well platforms of Mumbai High & Heera Fields,Oil and Natural Gas Corporation Limited [ONGC],400119,Offshore,Oil and Natural Gas Corporation Limited [ONGC],3190.69,3375.9,3123.2,90.0,5.804700550664591,100.0,2.514588702271979,25,100,0,0,37.5,90.63774,58.755096435546875,HIGH,Schedule delay above 6 months
261,Arawali Kante section of NH-17New NH-66 4L PS from Km.241/300 to 281/300,MoRTH,617947,Maharashtra,MoRTH,1006.99,1443.09,0.0,80.06,43.30728209813403,76.0,-80.06,75,100,0,0,52.5,68.09457,58.73782730102539,HIGH,Cost overrun above 10% | Schedule delay above 6 months
262,6L Korlam-Kantakapalle Section of NH-130CD Road from Km 421.100 to Km 445.100 Pkg-3,National Highways Authority of India [NHAI],618682,Andhra Pradesh,National Highways Authority of India [NHAI],1112.7,1127.63,822.68,99.26,1.3417812528084894,29.0,-26.303445101673447,25,100,0,0,37.5,90.40216,58.660865783691406,HIGH,Schedule delay above 6 months
263,Dharamjaigarh-Korba,Railway,400203,Chhattisgarh,Railway,1686.22,2438.53,625.77,43.5,44.61517476960303,-4.0,-17.838228358888347,75,0,75,0,41.25,84.66652,58.616607666015625,HIGH,Cost overrun above 10% | Low physical progress
264,Establishment of Permanent campus Phase 1 of IIM Sirmaur,"Indian Institute of Management, Sirmaur",602099,Himachal Pradesh,"Indian Institute of Management, Sirmaur",392.51,454.78,336.71,97.5,15.864563960153877,31.0,-23.46200360613923,50,100,0,0,45.0,78.788414,58.51536560058594,HIGH,Cost overrun above 10% | Schedule delay above 6 months
265,Mahabalipuram - Pondicherry Pkg-I [Mamallapuram to Mugaiyur],National Highways Authority of India [NHAI],619129,Tamil Nadu,National Highways Authority of India [NHAI],1360.54,1477.94,575.41,58.65,8.628926749672932,31.0,-19.716755078013996,25,100,40,0,47.5,74.801346,58.4205379486084,HIGH,Schedule delay above 6 months
266,Bakhtiyarpur-Rajauli Pkg-III from km. 101.630 to km.152.520,National Highways Authority of India [NHAI],618862,Bihar,National Highways Authority of India [NHAI],2156.22,3046.61,1668.28,99.14,41.29402380091087,23.0,-44.38143228046912,75,75,0,0,45.0,78.41128,58.364511489868164,HIGH,Cost overrun above 10% | Schedule delay above 6 months
267,Koderma-Tilaiya New Line,East Central Railway [ECR] - I,705375,"Multi-States
(Bihar, Jharkhand)",East Central Railway [ECR] - I,1626.0,2486.62,2215.44,95.5,52.92865928659286,12.0,-6.405566592402522,100,50,0,0,45.0,78.18919,58.275678634643555,HIGH,Cost overrun above 10% | Schedule delay above 6 months
268,Capacity Expansion of Panipat Refinery from 15 to 25 MMTPA,Ministry of Petroleum & Natural Gas,701289,Haryana,Ministry of Petroleum & Natural Gas,34627.0,36225.0,27035.45,93.2,4.61489589049008,27.0,-18.567977915803993,25,100,0,0,37.5,89.31222,58.22488784790039,HIGH,Schedule delay above 6 months
269,"Rehabilitation & Upgradation of NH214New NH-216 from Km 34/230 to Km 84/550 Losari to Machavaram Section to two lane with paved shoulder in the state of Andhrapradesh under NHDP-IV through Engineering, Procurement& Construction EPC mode.",MoRTH,618239,Andhra Pradesh,MoRTH,445.22,459.37,0.0,98.6,3.178204033960734,82.0,-98.6,25,100,0,0,37.5,89.227455,58.190982818603516,HIGH,Schedule delay above 6 months
270,Bangalore-Nidagatta Pkg. I,National Highways Authority of India [NHAI],618706,Karnataka,National Highways Authority of India [NHAI],3496.01,4087.42,604.66,99.19,16.916713624961023,55.0,-84.39680527080652,50,100,0,0,45.0,77.917404,58.166961669921875,HIGH,Cost overrun above 10% | Schedule delay above 6 months
271,"Construction of 4/6 lane Highway of Southern Bareilly Bypass, starting at Ch. 237000 of NH 530 near Jhumka chauraha, Dhantiya village and ending at Ch. 267000 of NH 30 near Invertis University including Trumpet Interchange",National Highways Authority of India [NHAI],618869,Uttar Pradesh,National Highways Authority of India [NHAI],1122.02,1869.59,129.68,10.21,66.62715459617475,0.0,-3.273719853015902,100,0,100,0,55.0,62.766075,58.10643005371094,HIGH,Cost overrun above 10% | Low physical progress
272,6L Greenfield Kandili - Aluru Section of NH-130-CD Road from km 342500 to km 365033 Package-OD-8,National Highways Authority of India [NHAI],618680,Odisha,National Highways Authority of India [NHAI],1492.74,1912.84,1032.78,97.47,28.14287819714082,19.0,-43.47802994500323,75,75,0,0,45.0,77.71248,58.084991455078125,HIGH,Cost overrun above 10% | Schedule delay above 6 months
273,HP-COAT [Crude to Olefins and Aromatics Technology] demo unit at Visakh Refinery,Hindustan Petroleum Corporation Limited,709752,Andhra Pradesh,Hindustan Petroleum Corporation Limited,160.0,220.0,135.52,91.6,37.5,32.0,-29.999999999999993,75,100,0,0,52.5,66.38394,58.0535774230957,HIGH,Cost overrun above 10% | Schedule delay above 6 months
274,Baramati Lonand New Line Project,Central Railway,705357,Maharashtra,Central Railway,138.48,1843.9,1007.49,60.0,1231.5280184864243,0.0,-5.3609197895764495,100,0,40,0,40.0,85.073296,58.029319763183594,HIGH,Cost overrun above 10%
275,Guwahati Airport New Integrated Terminal Building Construction Project,706724,N04000083,Assam,Adani Airport Holdings Limited,1712.0,2520.0,2627.39,98.0,47.19626168224299,15.0,6.261507936507925,75,75,0,0,45.0,77.503654,58.00146293640137,HIGH,Cost overrun above 10% | Schedule delay above 6 months | Expenditure exceeds revised project cost
276,Construction of New Double Tier 4L Elevated Corridor from Chennai Port to Maduravoyal in Chennai District from km -0.342 to Km 20.593 and Package IV from Km 14.185 to Km 20.593,National Highways Authority of India [NHAI],619045,Tamil Nadu,National Highways Authority of India [NHAI],1205.4,1210.21,62.01,7.91,0.3990376638460216,18.0,-2.7860958841853893,25,75,100,0,55.0,62.365692,57.9462776184082,HIGH,Schedule delay above 6 months | Low physical progress
277,Kottankulangara- Start of Kollam Bypass,National Highways Authority of India [NHAI],618607,Kerala,National Highways Authority of India [NHAI],2842.14,3680.49,895.86,73.89,29.49713947940636,29.0,-49.54921928873601,75,100,40,0,62.5,50.896557,57.85862350463867,HIGH,Cost overrun above 10% | Schedule delay above 6 months
278,Start of Kollam Bypass - Kadambattukonam,National Highways Authority of India [NHAI],619207,Kerala,National Highways Authority of India [NHAI],2641.37,3309.06,891.4,81.8,25.278170040547145,15.0,-54.86183629187745,75,75,0,0,45.0,76.97499,57.78999710083008,HIGH,Cost overrun above 10% | Schedule delay above 6 months
279,4L of Fazilka to Abohar section of NH-07 including construction of Greenfield Abohar & Fazilka Bypasses,National Highways Authority of India [NHAI],618793,Punjab,National Highways Authority of India [NHAI],1409.88,1674.04,569.17,60.0,18.736346355718204,15.0,-26.00021504862488,50,75,40,0,47.5,73.1508,57.76032066345215,HIGH,Cost overrun above 10% | Schedule delay above 6 months
280,Six Laning of KT/KL Border Thalapaddy -Chengala from Km. 17.200 to Km. 57.20,National Highways Authority of India [NHAI],619205,"Multi-States
(Karnataka,
Kerala)",National Highways Authority of India [NHAI],1981.07,2681.48,1060.49,99.2,35.35513636570137,24.0,-59.65131792890494,75,75,0,0,45.0,76.73483,57.69393348693848,HIGH,Cost overrun above 10% | Schedule delay above 6 months
281,Shahpur Kandi Dam Project,Department of Water Resources-PB,701411,Punjab,Department of Water Resources-PB,2285.81,2715.7,2201.94,88.0,18.80689996106413,48.0,-6.918142651986585,50,100,0,0,45.0,76.59186,57.63674354553223,HIGH,Cost overrun above 10% | Schedule delay above 6 months
282,6L Greenfield Varanasi- Ranchi- Kolkata Highway from junction with NH-320 in Lepo village to Kamlapur villageJH/WB border from km 358.500 to km 387.200 Pkg -13,National Highways Authority of India [NHAI],618734,"Multi-States
(Jharkhand, West
Bengal)",National Highways Authority of India [NHAI],1154.49,1319.18,90.87,17.22,14.265173366594777,0.0,-10.331629951939838,50,0,100,0,40.0,83.5356,57.414241790771484,HIGH,Cost overrun above 10% | Low physical progress
283,3rd & 4th Railway Line Project from Salegaon to Budhapank via Rajathgarh.,East Coast Railway [ECoR] - II,705515,Odisha,East Coast Railway [ECoR] - II,1173.0,2092.0,2120.58,89.0,78.3461210571185,0.0,12.366156787762904,100,0,0,40,36.0,89.119194,57.247678375244135,HIGH,Cost overrun above 10% | Expenditure exceeds revised project cost
284,Construction of Trumpet Interchange Connecting Bangalore Chennai Expressway km.261705 to km. 262800 with Maduravoyal to Walajapet Section of NH 48 near Sriperumbudur Toll Plaza at km. 35700,National Highways Authority of India [NHAI],618480,Tamil Nadu,National Highways Authority of India [NHAI],162.55,162.56,43.1,24.13,0.0061519532451497,14.0,2.3832874015748047,25,75,100,0,55.0,60.354465,57.14178657531738,HIGH,Schedule delay above 6 months | Low physical progress
285,Installation of FGD for 4x210 & 2x250 MW MTPS U 1-6,Damodar Valley Corporation,602538,West Bengal,Damodar Valley Corporation,1037.0,1106.0,1133.78,96.0,6.653809064609451,28.0,6.511754068716087,25,100,0,0,37.5,86.58209,57.13283920288086,HIGH,Schedule delay above 6 months | Expenditure exceeds revised project cost
286,4L of Palma to Gumla from km. 26.00 to km. 89.170 of NH-23,National Highways Authority of India [NHAI],618642,Jharkhand,National Highways Authority of India [NHAI],1882.93,1895.75,891.94,98.96,0.6808537757643639,26.0,-51.91054727680336,25,100,0,0,37.5,86.23994,56.995975494384766,HIGH,Schedule delay above 6 months
287,4L of Munger Mirzachauki section from Munger to Kharia village junction from Km 69520 to Km 95580 Pkg-1,NHAI,619289,Bihar,NHAI,1659.81,1696.66,506.33,78.09,2.2201336297528114,27.0,-48.24725012671957,25,100,0,0,37.5,86.10957,56.94382858276367,HIGH,Schedule delay above 6 months
288,Ahmednagar - Beed - Parli - Vaijnath New Broad Gauge Line Railway Project [261.3 km],Central Railway [CR] - II,705356,Maharashtra,Central Railway [CR] - II,2538.67,4957.27,5180.78,98.0,95.27035810089536,0.0,6.508731620428179,100,0,0,0,30.0,97.33736,56.93494415283203,HIGH,Cost overrun above 10% | Expenditure exceeds revised project cost
289,Burhwal Gonda 3rd line,North Eastern Railway [NER],705567,Uttar Pradesh,North Eastern Railway [NER],1016.0,1118.0,1050.11,88.4,10.039370078740156,14.0,5.527549194991039,50,75,0,0,37.5,86.08026,56.932106018066406,HIGH,Cost overrun above 10% | Schedule delay above 6 months
290,Paradip-Numaligarh Crude Oil Pipeline [PNCPL] & Crude Oil Import Terminal [COIT] at Paradip,Ministry of Petroleum & Natural Gas,701349,"Multi-States
(Assam, Bihar,
Jharkhand,
Odisha, West
Bengal)",Ministry of Petroleum & Natural Gas,10228.0,11407.0,10912.42,92.4,11.527180289401642,27.0,3.264241255369498,50,100,0,0,45.0,74.58285,56.833139419555664,HIGH,Cost overrun above 10% | Schedule delay above 6 months
291,"Construction of Permanent Campus of Central University of Himachal Pradesh at Dehra, District - Kangra, [H.P.] on Engineering. Procurement and Construction [EPC Mode 1] Basis.","Central University, Himachal Pradesh",612894,Himachal Pradesh,"Central University, Himachal Pradesh",251.98,300.45,223.21,85.0,19.235653623303435,16.0,-10.7081045099018,50,75,0,0,37.5,85.575775,56.73031234741211,HIGH,Cost overrun above 10% | Schedule delay above 6 months
292,4/6L Greenfield LudhianaRupnagar highway from Jn. with NE-5 village near to ManewalLudhiana to Jn. with NH-205 near Bheora Village Rupnagar from Km 66.0 to Km 91.0 i/c spur to Kharar from Km 0.0 to Km 19.5 with Ludhiana bypass of NH-205K Pkg-3,National Highways Authority of India [NHAI],618785,Punjab,National Highways Authority of India [NHAI],1501.02,1815.13,992.99,78.6,20.92643668971767,15.0,-23.89372551828243,50,75,0,0,37.5,85.39645,56.6585807800293,HIGH,Cost overrun above 10% | Schedule delay above 6 months
293,4L of Sethiyathope -Cholapuram section from Km. 65.960 to Km. 116.440 section of NH45 C Pkg-II,National Highways Authority of India [NHAI],618897,Tamil Nadu,National Highways Authority of India [NHAI],2356.19,2356.9,1011.39,100.0,0.0301333933171788,68.0,-57.08812423098137,25,100,0,0,37.5,85.21622,56.58648681640625,HIGH,Schedule delay above 6 months
294,4L Greenfield Alignment from Kalyanapur to Tal Dashraha of NH-119D Pkg-III,NHAI,618741,Bihar,NHAI,1857.58,1969.3,416.74,32.17,6.014276639498704,28.0,-11.008165845731988,25,100,75,0,56.25,56.918983,56.51759338378906,HIGH,Schedule delay above 6 months | Low physical progress
295,Kalyan Station Precinct Imporvement Project,ministry of housing and urban affairs,701991,Maharashtra,ministry of housing and urban affairs,600.0,723.7,492.82,82.0,20.61666666666667,35.0,-13.902722122426423,50,100,0,0,45.0,73.67582,56.470327377319336,HIGH,Cost overrun above 10% | Schedule delay above 6 months
