rank,project_name,project_code,legacy_ocms_code,State,agency,original_cost,expenditure,physical_progress,project_age_months,overrun_probability,risk_score,risk_level
1930,Construction of Champawat Bypass with two lane with paved shoulder configuration starting from existing chainage 121.700 to existing chainage 129.450 Design Length 9.847 of NH-125 in District-Champawat in the state of Uttrakhand on EPC mode.,MoRTH,617890,Uttarakhand,MoRTH,220.89,0.0,5.0,3.0,0.22269948,0.22269948,LOW
1931,GADEGAON OC 3 MTY,Western Coalfields Limited [WCL],615331,Maharashtra,Western Coalfields Limited [WCL],497.41,27.55,2.19,30.0,0.21829762,0.21829762,LOW
1932,Desalpar-Hajipir-Luna and Vayor-Lakhpat New Line,Western Railway [WR] - II,617880,Gujarat,Western Railway [WR] - II,2526.47,0.0,0.0,7.0,0.21755446,0.21755446,LOW
1933,Rehabilitation and Up-gradation of Gangakhed Loha section of NH-361F from Km 169/00 to 210/00 to two lane with paved shoulder/ four lane configuration in the state of Maharashtra on EPC mode Length - 41.00 Km.,MoRTH,618139,Maharashtra,MoRTH,355.12,0.0,43.46,12.0,0.21402083,0.21402083,LOW
1934,Koderma-Arigada Doubling 133.38 Km of East Central Railway,East Central Railway [ECR] - I,617832,Jharkhand,East Central Railway [ECR] - I,2887.11,0.0,0.0,10.0,0.2135391,0.2135391,LOW
1935,Babupeth - Sasti New Rail Line [13.114 KMs],CentralRailway,617361,Maharashtra,CentralRailway,362.81,0.48,0.0,18.0,0.21041669,0.21041669,LOW
1936,"Construction of new 2 Lane with paved shoulders of NH Standards from km 0.080 to km 11.690 L11.610 km in Majuli and from km 19.715 to km 27.484 L 7.769 km in Jorhat on the newly declared NH 715K and construction of 1.10 km flyover on NH-715 with its approaches and service roads L1.10 km, Total Length 20.479 km in the State of Assam Job No. 715K/AS/2023-24/256",MoRTH,618159,Assam,MoRTH,382.1,25.58,0.0,7.0,0.20814349,0.20814349,LOW
1937,240MW Heo HE Project,North Eastern Electric Power Corporation Limited,611698,Arunachal Pradesh,North Eastern Electric Power Corporation Limited,1938.85,96.94,4.95,11.0,0.20359561,0.20359561,LOW
1938,"Construction of Intermediate Lane with Hard Shoulder of Hunli to Hayuliang Package- III from design Km 60.000 to Km 121.500 Design Length 61.500 km, Greenfield Section of Frontier Highway NH-913 in the State of Arunachal Pradesh on EPC Mode Pkg-3",NHIDCL,618401,Arunachal Pradesh,NHIDCL,1418.67,0.0,1.7,9.0,0.20155446,0.20155446,LOW
1939,Widening of Existing Road to Two Lane with Paved Shoulder Configuration from Km 0.00 to 26.000 & Km 45.200 To 59.622 Of NH 365BB in the State of Andhra Pradesh Under Annual Plan 2023-24 through EPC Mode,MoRTH,618193,Andhra Pradesh,MoRTH,368.63,37.37,22.55,12.0,0.20005733,0.20005733,LOW
1940,Rehabilitation and upgradation from ch km 50/200 to 56/800 and km 62/600 to 100/403 of Kolde to Visarwadi Near Junction with NH-6 section of NH 752G total length 44.40 to two-lane with paved shoulder / four lanes in the State of Maharashtra on EPC mode.,MoRTH,618176,Maharashtra,MoRTH,349.08,0.0,21.6,3.0,0.19526464,0.19526464,LOW
1941,Bangriposi-Gorumahisani new line [ 85.60 km ],CAO/C/SER,616586,Odisha,CAO/C/SER,2269.49,7.14,0.0,7.0,0.19184247,0.19184247,LOW
1942,Transmission Scheme for evacuation of Power from Ratle HEP [850 MW] & kiru [624 MW] Part B,Power Grid Corporation of India Limited [POWERGRID],617179,"Jammu and
Kashmir",Power Grid Corporation of India Limited [POWERGRID],218.6,3.72,1.7,21.0,0.19106579,0.19106579,LOW
1943,Gondia-Balharshah [Chanda Fort] Doubling [240 Km],South East Central Railway,617201,Maharashtra,South East Central Railway,4373.04,1.0,1.0,12.0,0.18969056,0.18969056,LOW
1944,Development of Palakkad Node under extension of CBIC to Kochi,National Industrial Corridor Development Corporation,701668,Kerala,National Industrial Corridor Development Corporation,3805.0,0.0,1.0,6.0,0.18792517,0.18792517,LOW
1945,AMAL GONDEGAON GHATROHANA EXPN,Western Coalfields Limited [WCL],616229,Maharashtra,Western Coalfields Limited [WCL],668.54,2.94,2.52,19.0,0.1807635,0.1807635,LOW
